input_body_mean,input_body_sd,true_vac_rad,sliced_vac_rad,true_bodies,sliced_bodies,cl
16,4,1959.3759776897011,536.393303986216,15.0,5.0,t2
16,4,752.221122733602,310.8784005125428,13.0,0.0,t2
16,4,961.5539113049142,890.4645305383584,15.0,5.0,t2
16,4,1111.5956646280933,1023.9846322191736,13.0,0.0,t2
16,4,967.5211447129273,959.7001951395977,15.0,1.0,t2
16,4,1077.874333439114,873.0959973320461,11.0,0.0,t2
16,4,882.6980187159345,877.4678515957567,18.0,7.0,t2
16,4,1725.1242274600747,1613.2353253270694,12.0,0.0,t2
16,4,1894.2459717335907,1544.5417495231934,21.0,0.0,t2
16,4,1252.7481576345806,1171.4721054349945,19.0,2.0,t2
16,4,1220.1694995271434,721.6970610952577,23.0,6.0,t2
16,4,1018.6050098492384,737.6255666698207,20.0,12.0,t2
16,4,1211.2296494222007,1092.2652546853676,13.0,9.0,t2
16,4,776.4051502179874,506.45614447413385,19.0,5.0,t2
16,4,1033.8050841534207,1025.4236086431604,18.0,0.0,t2
16,4,1048.456461121756,697.2581970126639,19.0,1.0,t2
16,4,939.5527952727193,506.70569422979037,20.0,2.0,t2
16,4,902.5554538226604,443.66721792052255,16.0,0.0,t2
16,4,1127.2069071519072,874.6880943032698,16.0,6.0,t2
16,4,1022.2735198341096,321.7149999135769,16.0,0.0,t2
16,4,849.7348551603486,608.6993731769877,17.0,3.0,t2
16,4,801.707929822726,346.26595766744333,10.0,1.0,t2
16,4,863.0600392731204,851.5393318286899,21.0,6.0,t2
16,4,1306.6040008338475,1170.773535363631,20.0,7.0,t2
16,4,1200.6468417460217,1154.4327869677388,21.0,7.0,t2
16,4,1362.1710764987185,1348.3479314619915,25.0,4.0,t2
16,4,813.5134131655391,694.5505235956963,17.0,5.0,t2
16,4,809.6128514942208,679.3091996220897,15.0,3.0,t2
16,4,1315.9490047056495,1308.5099505284206,20.0,2.0,t2
16,4,903.6797216307576,868.7626251959656,13.0,8.0,t2
16,4,1185.9625842969294,1136.1804512425356,11.0,0.0,t2
16,4,844.3828832537438,680.5053067392931,20.0,3.0,t2
16,4,1010.3888935645857,656.057637543993,19.0,0.0,t2
16,4,933.5899848514514,737.0790698722412,13.0,5.0,t2
16,4,1425.2205481114795,1333.4353122077416,13.0,0.0,t2
16,4,907.0094535297349,901.5352524094253,17.0,4.0,t2
16,4,1419.2118721674165,1198.736895941675,12.0,0.0,t2
16,4,977.1381906730702,533.64186694276,11.0,0.0,t2
16,4,1484.3207984441606,1318.962463644998,19.0,8.0,t2
16,4,1106.1112175353376,1092.952145180614,13.0,0.0,t2
16,4,882.2076955646463,879.6651446959154,19.0,5.0,t2
16,4,1341.5269760091667,868.2048381955768,14.0,0.0,t2
16,4,1100.4855563494457,980.3328362686453,18.0,0.0,t2
16,4,912.2265083769856,609.3058653042417,13.0,0.0,t2
16,4,1236.6438361582386,1232.4791173115784,12.0,3.0,t2
16,4,1011.7415539924676,940.9231817984833,16.0,2.0,t2
16,4,978.2421994997017,816.4938826911584,14.0,0.0,t2
16,4,1198.4083701434915,732.5562907312067,13.0,0.0,t2
16,4,1759.0455632321116,1595.3234097016007,20.0,7.0,t2
16,4,1255.9565915957974,1154.9673833664854,19.0,0.0,t2
16,4,983.4405516852094,943.2902856485896,24.0,1.0,t2
16,4,759.4708785207257,718.1742060732405,11.0,0.0,t2
16,4,1078.2324703579636,917.2768619189256,18.0,8.0,t2
16,4,1176.6517115198105,626.5057408195769,13.0,0.0,t2
16,4,1293.6029100473875,748.576379256043,14.0,0.0,t2
16,4,963.3165568400447,900.1768252031743,18.0,7.0,t2
16,4,1139.0596065310206,931.3672017687004,23.0,9.0,t2
16,4,1019.4477816674603,1008.2399994625574,19.0,10.0,t2
16,4,975.7051046067694,778.9655506809626,15.0,1.0,t2
16,4,1823.0241645444564,394.73454544724615,19.0,0.0,t2
16,4,1376.642730192741,1321.4004260192442,10.0,0.0,t2
16,4,889.2219837127469,889.214245802843,24.0,11.0,t2
16,4,1255.1830279918352,1056.276459593824,11.0,1.0,t2
16,4,1025.5284303201013,945.7475532588755,11.0,5.0,t2
16,4,1698.2783385641958,1402.4305936314322,12.0,8.0,t2
16,4,967.1721802380721,635.3042150189323,15.0,7.0,t2
16,4,916.8425479725514,863.9052943917783,21.0,7.0,t2
16,4,1304.3616134222495,1245.4740250296209,18.0,0.0,t2
16,4,1457.5592726033406,659.6362974741726,15.0,0.0,t2
16,4,1130.6036168508822,1130.6036168508822,16.0,0.0,t2
16,4,1103.9592113628153,874.5942323180873,17.0,1.0,t2
16,4,1003.720970615914,711.6377059453688,11.0,2.0,t2
16,4,1513.2400294302631,375.1970814688916,12.0,0.0,t2
16,4,1083.1658760834398,827.7623839881011,16.0,11.0,t2
16,4,713.3684424316846,659.6283857358496,19.0,8.0,t2
16,4,986.6742543186424,554.1716696249755,17.0,0.0,t2
16,4,1078.3373442881314,1057.9815662500757,16.0,3.0,t2
16,4,839.6726423850005,839.5077802587261,19.0,6.0,t2
16,4,1328.9682969830565,1025.9772222610927,13.0,0.0,t2
16,4,757.7308631213835,753.478777859828,16.0,2.0,t2
16,4,879.4882893704175,851.1553826102055,10.0,5.0,t2
16,4,1300.119195081289,864.4329294115712,16.0,7.0,t2
16,4,1053.6700809722277,1034.229075421333,19.0,11.0,t2
16,4,1176.1981084537904,1150.3384720284962,16.0,3.0,t2
16,4,935.0180985107132,906.7012481085817,18.0,3.0,t2
16,4,1001.4172627264336,977.5557177510408,18.0,9.0,t2
16,4,1125.7932464165851,736.1250363934042,17.0,0.0,t2
16,4,1483.5628243617573,1346.3038906990598,17.0,1.0,t2
16,4,1224.448203977402,695.5409340950207,22.0,3.0,t2
16,4,1002.9550153506833,997.4341543872704,16.0,3.0,t2
16,4,927.4329612889234,710.3858904798708,16.0,0.0,t2
16,4,1390.6943116423786,836.7240175680388,10.0,7.0,t2
16,4,941.8880442894753,910.9940571954436,16.0,6.0,t2
16,4,864.8311237419223,342.7096419944022,9.0,1.0,t2
16,4,1436.259963233011,1305.764683559295,15.0,6.0,t2
16,4,1201.4745114191758,1010.2411101106004,13.0,2.0,t2
16,4,1015.8578536708847,978.2422355409888,15.0,0.0,t2
16,4,959.3586612462084,913.2881258041417,16.0,5.0,t2
16,4,1092.9776610141369,1059.1533097001502,23.0,12.0,t2
16,4,844.8951126033379,744.1238103396138,17.0,9.0,t2
16,4,771.5439455560747,405.800422087174,18.0,0.0,t2
16,4,1301.3038285578136,553.0631361980214,16.0,0.0,t2
16,4,1195.5421094642327,647.3777663863949,16.0,0.0,t2
16,4,1476.9354593085495,654.9032561537907,12.0,0.0,t2
16,4,1746.0631913979632,930.763762913727,14.0,0.0,t2
16,4,1317.236983009001,1187.5319255267007,16.0,8.0,t2
16,4,1134.1225926110233,926.3047322411536,22.0,14.0,t2
16,4,1375.6040949877345,1157.3384587316334,12.0,0.0,t2
16,4,1597.269540635317,1445.7608423685494,22.0,0.0,t2
16,4,1012.0825837978838,730.2211931115497,18.0,7.0,t2
16,4,1277.5532148148693,939.1059665747363,12.0,4.0,t2
16,4,1193.771342821646,1117.2155687792283,16.0,7.0,t2
16,4,1032.9063316063816,1032.9063131167816,13.0,7.0,t2
16,4,1272.2785869867262,610.2273458088422,13.0,0.0,t2
16,4,1083.0211817520594,796.3336285636632,17.0,0.0,t2
16,4,1063.1776838182386,818.065015129679,16.0,0.0,t2
16,4,1135.507285453295,1059.9950229032722,21.0,11.0,t2
16,4,1407.8448908453165,1122.413516820407,17.0,0.0,t2
16,4,1075.7225644235104,702.604843776838,14.0,0.0,t2
16,4,1326.4525059500775,1131.342001497206,12.0,9.0,t2
16,4,1382.0029810244446,1369.950403044083,2.0,0.0,t2
16,4,922.8639906371435,652.8144356888433,16.0,0.0,t2
16,4,1286.5902406915386,943.7983302111952,16.0,5.0,t2
16,4,1175.2574895932853,649.7078407847574,19.0,0.0,t2
16,4,1573.3292766606369,1484.3280068304143,14.0,7.0,t2
16,4,1020.3614586348866,860.3238272683276,4.0,2.0,t2
16,4,1446.6657362097626,1412.9860242581974,18.0,0.0,t2
16,4,1245.3413999498155,935.2381963584337,11.0,0.0,t2
16,4,1138.2784005469073,605.5808410448328,21.0,0.0,t2
16,4,986.4122950350392,666.4934216113555,14.0,0.0,t2
16,4,1667.784073388747,960.7512141478807,12.0,0.0,t2
16,4,845.2346959795474,837.2933994753682,12.0,4.0,t2
16,4,1211.5595638461427,1043.2524350248912,18.0,10.0,t2
16,4,1069.437473129162,991.4574095720436,13.0,0.0,t2
16,4,1519.9343617223267,1358.2970505148485,19.0,8.0,t2
16,4,638.9620803117149,520.6829717590251,15.0,3.0,t2
16,4,1237.703523460265,1123.5367449842793,19.0,8.0,t2
16,4,1615.9501275564985,1454.9840297069954,13.0,2.0,t2
16,4,932.1813979396533,573.3768804938992,15.0,8.0,t2
16,4,1358.819223838197,1194.896156543481,16.0,5.0,t2
16,4,964.9853612029063,455.3830497142489,12.0,0.0,t2
16,4,1029.7065312705872,883.5367329776259,13.0,6.0,t2
16,4,1217.8356706216514,1136.3995095293812,19.0,0.0,t2
16,4,1219.4285860943032,607.8446631090684,17.0,0.0,t2
16,4,1016.7652729054632,1009.9178871567473,17.0,5.0,t2
16,4,1154.770424257753,774.5520257095343,19.0,1.0,t2
16,4,814.1441505628363,573.9596845414244,8.0,0.0,t2
16,4,1285.8541442929622,1170.9758806255534,14.0,8.0,t2
16,4,1072.620505230125,915.3595975909133,12.0,0.0,t2
16,4,1140.2336902916945,1114.7974034341983,9.0,1.0,t2
16,4,850.600874441024,652.0176534130097,23.0,1.0,t2
16,4,929.3666228088257,773.3394090711055,14.0,0.0,t2
16,4,871.9699364459398,807.1077282987462,14.0,2.0,t2
16,4,881.8449148436853,866.9235701819734,19.0,8.0,t2
16,4,1309.31090508616,467.2944820182051,15.0,0.0,t2
16,4,1018.5811143938048,768.8836935563291,18.0,2.0,t2
16,4,1069.3885399353067,1047.0196842490436,17.0,10.0,t2
16,4,1298.8361004745818,710.2532083381261,12.0,0.0,t2
16,4,1006.6305571970247,898.7572108824264,18.0,2.0,t2
16,4,982.1847706569006,453.7092138820299,19.0,2.0,t2
16,4,1000.4528461916052,985.2377845982215,23.0,10.0,t2
16,4,1452.5933618041697,1106.3678265407823,10.0,5.0,t2
16,4,754.1359906477278,396.8078487715146,16.0,1.0,t2
16,4,1240.7224641024918,1237.2408251431248,17.0,1.0,t2
16,4,1057.6817780139463,1057.5407071899997,14.0,1.0,t2
16,4,1327.4687683029535,1313.2925565550672,18.0,0.0,t2
16,4,1174.1793955200756,1174.1422630180514,21.0,12.0,t2
16,4,835.5425146489666,303.04089739861814,15.0,1.0,t2
